,time_sec,number_total_car,number_departed_car,number_arrived_car,avg_wait_sec,avg_speed_mps,std_queue,avg_queue
338,10140,26,0,2,4.1923076923076925,7.106440623815796,1.5360257159305635,0.875
339,10170,26,0,1,3.8846153846153846,7.3506287291242565,1.299038105676658,0.75
340,10200,27,1,0,3.111111111111111,7.510898705025495,1.5360257159305635,0.875
341,10230,24,0,2,3.875,6.5220464662736815,1.5360257159305635,0.875
342,10260,25,0,1,3.28,7.686332881589157,1.3919410907075054,0.75
343,10290,25,0,2,2.16,7.3861181381714065,1.3169567191065923,0.625
344,10320,26,1,1,2.6538461538461537,7.3492673594274915,1.964529205687714,0.875
345,10350,26,1,1,1.5384615384615385,9.012820976413016,0.7071067811865476,0.5
346,10380,24,0,0,12.083333333333334,3.071868597143394,2.7271780286589284,1.75
347,10410,34,0,1,9.147058823529411,5.795525780895462,3.314268395890713,1.625
348,10440,32,0,1,2.59375,8.09872482570503,1.299038105676658,0.75
349,10470,27,0,1,5.333333333333333,6.250460450213698,2.0879116360612584,1.125
350,10500,29,2,0,3.413793103448276,8.101263277892008,1.224744871391589,1.0
