,Simulation_step,avg_wait_time_30,reward_30,reward_epoch
431,960,97.10493827160494,0.38597081930414845,-97.10493827160494
432,990,93.95652173913044,3.1484165324744993,-93.95652173913044
433,1020,93.24223602484471,0.7142857142857224,-93.24223602484471
434,1050,94.94409937888199,-1.7018633540372718,-94.94409937888199
435,1080,97.67080745341615,-2.7267080745341588,-97.67080745341615
436,1110,100.0,-2.3291925465838546,-100.0
437,1140,100.0,0.0,-100.0
438,1170,100.0,0.0,-100.0
439,1200,100.0,0.0,-100.0
440,1230,100.0,0.0,-100.0
441,1260,98.39583333333333,1.6041666666666714,-98.39583333333333
442,1290,93.44202898550725,4.953804347826079,-93.44202898550725
443,1320,91.55833333333334,1.8836956521739125,-91.55833333333334
444,1350,92.57627118644068,-1.017937853107341,-92.57627118644068
445,1380,96.57627118644068,-4.0,-96.57627118644068
446,1410,98.9322033898305,-2.355932203389827,-98.9322033898305
447,1440,100.0,-1.067796610169495,-100.0
448,1470,100.0,0.0,-100.0
449,1500,100.0,0.0,-100.0
450,1530,100.0,0.0,-100.0
451,1560,96.59375,3.40625,-96.59375
452,1590,77.13541666666667,19.45833333333333,-77.13541666666667
453,1620,65.06741573033707,12.068000936329597,-65.06741573033707
454,1650,66.78313253012048,-1.715716799783408,-66.78313253012048
455,1680,77.85365853658537,-11.070526006464888,-77.85365853658537
456,1710,79.56470588235294,-1.7110473457675681,-79.56470588235294
457,1740,84.40229885057471,-4.83759296822177,-84.40229885057471
458,1770,83.56043956043956,0.8418592901351474,-83.56043956043956
459,1800,81.43877551020408,2.1216640502354807,-81.43877551020408
460,1830,84.11,-2.671224489795918,-84.11
461,1860,86.22222222222223,-2.112222222222229,-86.22222222222223
462,1890,84.20792079207921,2.0143014301430213,-84.20792079207921
463,1920,83.76190476190476,0.446016030174448,-83.76190476190476
464,1950,78.95238095238095,4.80952380952381,-78.95238095238095
465,1980,64.65,14.302380952380943,-64.65
